,loss,DSC,SEN,PPV,val_loss,val_DSC,val_SEN,val_PPV
112,0.049112603960869215,0.9514921456575394,0.9552599911888441,0.9481973561147848,0.16671069587270418,0.8335689331094424,0.8579224944114685,0.8145561143755913
113,0.04588931905648982,0.9547316916286945,0.9584783017635345,0.9514614008367062,0.16660085879266262,0.8337155555685362,0.8584170415997505,0.814719500641028
114,0.04470704332925379,0.9558777436614037,0.9597041675200065,0.9525452622522911,0.17718871248265108,0.8231131707628568,0.8485251665115356,0.8034910957018534
115,0.04272294923430309,0.9578622405727705,0.961430748924613,0.9547273789842924,0.17119170802955827,0.8291365181406339,0.8584957818190256,0.8069340760509173
116,0.04305475540847207,0.9575108457356691,0.9613018725067377,0.9542080021152893,0.1747860594963034,0.8255739981929461,0.8524426718552908,0.8049202362696329
117,0.04274633810079346,0.957836457217733,0.9614775454004606,0.9545916256805261,0.18338907696306705,0.8168875078360239,0.8441770399610201,0.7962240676085154
118,0.045952188704783715,0.9546257158120474,0.9582465924322605,0.9514670496185621,0.167763726785779,0.8325857495268186,0.8583660970131556,0.8128075202306112
119,0.045391150730817266,0.9551679796228806,0.9588323378314575,0.9519684885938963,0.1826561906685432,0.817671924829483,0.8441107124090195,0.7973541095852852
120,0.043119923172829054,0.9574371309330066,0.960876302793622,0.9543924027432998,0.17225723899900913,0.8281684443354607,0.8550617694854736,0.8075860713919004
121,0.043998626507042594,0.9565655831247568,0.9602196911970774,0.9533930234611034,0.16283966228365898,0.837469699482123,0.8600612406929334,0.819862591723601
122,0.03957237012218684,0.960970434670647,0.9642812944948673,0.9580003047982851,0.148024484825631,0.8522847443819046,0.8750271921356519,0.8344349563121796
123,0.037601395102683455,0.9629091024398804,0.9662314200152954,0.9599078514923652,0.15508139987165728,0.8451710989077886,0.868001307050387,0.8271801695227623
124,0.03936921250230322,0.9611875408639511,0.9643660622338454,0.9583614822477102,0.15265824211140475,0.8476505329211553,0.8709902614355087,0.8291880041360855
125,0.037942976787841566,0.9625692324091991,0.9658317528665066,0.9596180636435747,0.16315367600570121,0.8371556450923284,0.8621640453735987,0.8179351935784022
126,0.042517758382018656,0.9580532281349102,0.9615157718459765,0.9550108735760053,0.14853283933674297,0.8517636433243752,0.8767303104201952,0.8324712365865707
127,0.037101332971360534,0.9633785504847765,0.9667926151305437,0.960305156186223,0.1588313727018734,0.8414729038874308,0.8663278048237165,0.8224794020255407
128,0.045223033133273326,0.955333877975742,0.9586508243034283,0.9524208673586448,0.15432001867642006,0.8460412646333376,0.8667551055550575,0.8299043526252111
129,0.04214253891647483,0.958393565689524,0.9618711161116759,0.9553472412129244,0.14860776967058578,0.8516489739219347,0.87518743177255,0.833153193195661
130,0.04264524169654275,0.9579109152158102,0.9611774055908123,0.9549966833243767,0.16868920267249146,0.8316384678085645,0.8571125492453575,0.8118222206830978
131,0.03972001366006831,0.9608163529386123,0.9643257285157839,0.9577372632920742,0.14853120300297937,0.8516830205917358,0.8744665334622065,0.8337117930253347
132,0.038853584070845194,0.9616374888767799,0.9648992934574684,0.9586959096292654,0.16239557756731907,0.8379149461785952,0.8627062439918518,0.8187174126505852
133,0.04140813221844534,0.9591039984176556,0.9623871085544428,0.956206550821662,0.15809334690372148,0.8422650694847107,0.8633872916301092,0.825994685292244
134,0.03981834527803585,0.9607020908345779,0.9640686238805453,0.9576941058039665,0.15434342374404272,0.8460767840345701,0.8702007904648781,0.8271572440862656
135,0.0370005985799556,0.9634908816466728,0.9668504546085993,0.9604687454799811,0.1459948724756638,0.8543370043238004,0.8743134910861651,0.8388219500581423
136,0.03593480889685452,0.9645340765515963,0.9675887115299702,0.961750790476799,0.15495454209546247,0.8453363453348478,0.8661567469437917,0.8292281478643417
137,0.03715972078498453,0.9633626391490301,0.96647330870231,0.9605780976514021,0.15066810169567665,0.8496551414330801,0.8727450966835022,0.8315854122241338
138,0.04108076591122275,0.9594255847235521,0.9623667933046818,0.9569330718368292,0.1668996394922336,0.8333869377772013,0.8601928030451139,0.8127288644512495
139,0.04516337266735112,0.95535973024865,0.9588035655518373,0.9523863196372986,0.16373022350793084,0.8366035744547844,0.8589823693037033,0.8192717755834261
140,0.040165676560718566,0.9603281437108914,0.9636426232755184,0.9574160700043043,0.15866196093459925,0.841685468951861,0.8640548661351204,0.8244248256087303
141,0.0411672389988477,0.9593789906551441,0.9625230723371109,0.9565850974371036,0.1524479758615295,0.8477732613682747,0.8691969513893127,0.831305647889773
142,0.037857572974947594,0.9626256016393503,0.9659259058535099,0.9596657976508141,0.15348408448820314,0.8468125214179357,0.8678323229153951,0.830367848277092
143,0.036527230443122484,0.9639656314005455,0.9672055567304293,0.9610146520038446,0.1423749557385842,0.8579059491554896,0.8777431224783262,0.8422632391254107
144,0.03331380351058518,0.9671850508699814,0.9701421509186426,0.9644764748712381,0.15906422212719917,0.8412394275267919,0.865101824204127,0.8225017314155897
145,0.0360729334061034,0.9644257004062334,0.9676888007670641,0.9614829296867052,0.16781208338215947,0.8324233169356982,0.8551589747269949,0.8151023412744204
146,0.034939092254110925,0.9655339935173591,0.9686739829679331,0.9626807831227779,0.16144832720359167,0.8388584951559702,0.8612153356273969,0.8213736588756243
147,0.033800031000282615,0.9666753510634104,0.9696125437815984,0.9640084703763326,0.14784029871225357,0.852530208726724,0.8767435724536577,0.8332039142648379
148,0.03434073143095399,0.9661525338888168,0.9693435380856196,0.9632551955680052,0.15171417950962982,0.8486130634943644,0.8725713541110357,0.8295650457342466
149,0.03554220726558318,0.9649194336185852,0.967764143521587,0.9623360279947519,0.1593747107932965,0.840868316590786,0.8647937700152397,0.8221822852889696
150,0.03275209407244498,0.967705407490333,0.9709623015175263,0.9647325364251932,0.1461594857585927,0.854141520957152,0.8776353870828947,0.8354385420680046
151,0.034837384145551674,0.9656283849229416,0.9685208940257629,0.9630088272194067,0.14682398301859698,0.8534454728166262,0.8802595933278402,0.8323174441854159
152,0.03467319942622756,0.9657879509031773,0.9688941737016042,0.962959082176288,0.15425985865294933,0.845999131600062,0.8665999099612236,0.8299730097254118
153,0.0344639706502979,0.9659779022137324,0.9690366486708323,0.9631993218014637,0.14688675897195935,0.8534202973047892,0.8726328189174334,0.8380976642171541
154,0.03179991569292421,0.968665448948741,0.9716454384227594,0.9659281385441622,0.1570675183708469,0.8431669150789579,0.8681462307771047,0.8236616378029188
